train_i2t_loss,train_loss,epoch,step,val_i2t_loss,val_loss
11.116074562072754,11.116074562072754,0,49,,
11.116547584533691,11.116547584533691,0,99,,
11.089677810668945,11.089677810668945,0,149,,
11.081552505493164,11.081552505493164,0,199,,
11.05732250213623,11.05732250213623,0,249,,
11.074763298034668,11.074763298034668,0,299,,
11.05891227722168,11.05891227722168,0,349,,
11.079710006713867,11.079710006713867,0,399,,
11.016902923583984,11.016902923583984,0,449,,
11.011192321777344,11.011192321777344,0,499,,
10.99708366394043,10.99708366394043,0,549,,
10.959477424621582,10.959477424621582,0,599,,
10.942948341369629,10.942948341369629,0,649,,
10.940133094787598,10.940133094787598,0,699,,
10.969566345214844,10.969566345214844,0,749,,
10.933050155639648,10.933050155639648,0,799,,
10.896161079406738,10.896161079406738,0,849,,
10.940054893493652,10.940054893493652,0,899,,
10.897533416748047,10.897533416748047,0,949,,
10.922236442565918,10.922236442565918,0,999,,
10.835042953491211,10.835042953491211,0,1049,,
10.897490501403809,10.897490501403809,0,1099,,
10.929572105407715,10.929572105407715,0,1149,,
10.847521781921387,10.847521781921387,0,1199,,
10.872525215148926,10.872525215148926,0,1249,,
10.890095710754395,10.890095710754395,0,1299,,
10.817376136779785,10.817376136779785,0,1349,,
10.799808502197266,10.799808502197266,0,1399,,
10.898022651672363,10.898022651672363,0,1449,,
10.864523887634277,10.864523887634277,0,1499,,
10.865718841552734,10.865718841552734,0,1549,,
10.966226577758789,10.966226577758789,0,1599,,
10.84078311920166,10.84078311920166,0,1649,,
10.834549903869629,10.834549903869629,0,1699,,
10.826820373535156,10.826820373535156,0,1749,,
10.828493118286133,10.828493118286133,0,1799,,
10.816638946533203,10.816638946533203,0,1849,,
10.850269317626953,10.850269317626953,0,1899,,
10.745535850524902,10.745535850524902,0,1949,,
10.754788398742676,10.754788398742676,0,1999,,
10.87572956085205,10.87572956085205,0,2049,,
,,0,2064,10.89281177520752,10.89281177520752
10.799627304077148,10.799627304077148,1,2099,,
10.789814949035645,10.789814949035645,1,2149,,
10.831637382507324,10.831637382507324,1,2199,,
10.834172248840332,10.834172248840332,1,2249,,
10.721946716308594,10.721946716308594,1,2299,,
10.787659645080566,10.787659645080566,1,2349,,
10.833621978759766,10.833621978759766,1,2399,,
10.766039848327637,10.766039848327637,1,2449,,
10.767326354980469,10.767326354980469,1,2499,,
10.821935653686523,10.821935653686523,1,2549,,
10.850096702575684,10.850096702575684,1,2599,,
10.817532539367676,10.817532539367676,1,2649,,
10.77501106262207,10.77501106262207,1,2699,,
10.745091438293457,10.745091438293457,1,2749,,
10.752182006835938,10.752182006835938,1,2799,,
10.716804504394531,10.716804504394531,1,2849,,
10.74172592163086,10.74172592163086,1,2899,,
10.756758689880371,10.756758689880371,1,2949,,
10.76807975769043,10.76807975769043,1,2999,,
10.766514778137207,10.766514778137207,1,3049,,
10.77020263671875,10.77020263671875,1,3099,,
10.783913612365723,10.783913612365723,1,3149,,
10.698251724243164,10.698251724243164,1,3199,,
10.830163955688477,10.830163955688477,1,3249,,
10.78515911102295,10.78515911102295,1,3299,,
10.829496383666992,10.829496383666992,1,3349,,
10.688993453979492,10.688993453979492,1,3399,,
10.76924991607666,10.76924991607666,1,3449,,
10.733169555664062,10.733169555664062,1,3499,,
10.682151794433594,10.682151794433594,1,3549,,
10.754395484924316,10.754395484924316,1,3599,,
10.72095775604248,10.72095775604248,1,3649,,
10.706374168395996,10.706374168395996,1,3699,,
10.701783180236816,10.701783180236816,1,3749,,
